freq	word
294	conditioned,beautiful,samādhi,dispassion,think:,else
293	understands,neutral
291	shall,homelessness
290	standing
289	physical,aversion
287	proper,around,find
286	conversation,royal,purified,sexual
285	various
284	skilled
283	properly
282	monks
281	powers,saying,compassion
280	whatever,nd)
279	wise,development,“there
278	nd)](,distress,retreat,company
276	father
275	elements,white,yet,dear
273	follow,didn’t
272	incredible
271	sick
270	factor
268	home,fall,tastes
267	goal
266	lie,god,hear
265	doing,permanent,declare,jeta’s,nothingness,touches
264	killing,committed,practices,kassapa,‘when
263	wood,woman,words,“it’s
262	air
261	joy,ordinary,internally,basis,wicked,smells
260	elephant,wanderers
259	under,making,buddha:,cultivate
257	fruitful,feet,thousand,entire
256	disillusionment,forest,presence,disillusioned
255	growth
254	letting
253	several,misconduct
252	though
251	views,passing,journey
249	something,lower,keen
248	open,heaven
247	developing,never,sound,lived,single,completed,polite
246	apart
245	use,lord
244	quite
243	hair,die,“in
242	brief
241	lodgings,town,goes
240	meal,upon
239	easy
238	lost,interior
237	religious,enthusiasm,mass
236	harm,diligent
235	gold
234	you’ve,peaceful,drawbacks,i’d
233	whole,point
232	householders,realizing,taught,exchanged
231	bound,rājagaha
230	underlying,simile,ultimate
229	established
228	conceit,direct,shore
227	sight
226	wishes,enjoy,palms
225	became,must,satisfied
224	sun,“good
223	superhuman,practiced,field,directly
221	between,rely,last,us,mountain,told
220	st)](,peace,inspired,st),occurred
219	eating,agreeable,‘there,toward,days
218	bases,accomplishment,morning
216	nun,ocean,lamentation,internal
215	offerings,monastic,female
214	quality,‘a
213	getting,places,joined
212	grows,‘may,identify
210	eyes,beginning,means,“…
209	along
208	truths
207	individual
206	lying,appropriate,deep,river,coming
205	isn’t,impermanence,venerables
204	anāthapiṇḍika’s,externally,destroyed,…’
203	offense
202	stood
201	enough
200	one’s,walking,awareness
199	part,few,limitless,undefiled,again
198	peak,dedicated,order,experiencing
197	fit,against,moon,try,comprehended
196	sabbath,questions,corruptions
